,full_name,party,congress_number,chamber,DOB,first_name,method,proportion_male,proportion_female,final_gender,gender,year
0,"ADAMSON, William Charles",D,65,house,1854.0,William,ipums,0.9986,0.0014,M,,1917
1,"ANDREWS, William Ezekiel",R,66,house,1854.0,William,ipums,0.9986,0.0014,M,,1919
2,"ANDREWS, William Ezekiel",R,67,house,1854.0,William,ipums,0.9986,0.0014,M,,1921
3,"ATKESON, William Oscar",R,67,house,1854.0,William,ipums,0.9986,0.0014,M,,1921
4,"COCKRAN, William Bourke",D,67,house,1854.0,William,ipums,0.9986,0.0014,M,,1921
5,"ALEXANDER, Joshua Willis",D,65,house,1852.0,Joshua,ipums,1.0,0.0,M,,1917
6,"ALEXANDER, Joshua Willis",D,66,house,1852.0,Joshua,ipums,1.0,0.0,M,,1919
7,"ALMON, Edward Berton",D,65,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1917
8,"ROBBINS, Edward Everett",R,65,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1917
9,"SAUNDERS, Edward Watts",D,65,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1917
10,"ALMON, Edward Berton",D,66,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1919
11,"SAUNDERS, Edward Watts",D,66,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1919
12,"ALMON, Edward Berton",D,67,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1921
13,"ALMON, Edward Berton",D,68,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1923
14,"ALMON, Edward Berton",D,69,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1925
15,"ALMON, Edward Berton",D,70,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1927
16,"ALMON, Edward Berton",D,71,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1929
17,"ALMON, Edward Berton",D,72,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1931
18,"ALMON, Edward Berton",D,73,house,1860.0,Edward,ipums,0.9917,0.0083,M,,1933
19,"ANDERSON, Sydney",R,65,house,1881.0,Sydney,ipums,0.3247,0.6753,M,,1917
20,"ANDERSON, Sydney",R,66,house,1881.0,Sydney,ipums,0.3247,0.6753,M,,1919
21,"ANDERSON, Sydney",R,67,house,1881.0,Sydney,ipums,0.3247,0.6753,M,,1921
22,"ANDERSON, Sydney",R,68,house,1881.0,Sydney,ipums,0.3247,0.6753,M,,1923
23,"ANTHONY, Daniel Read, Jr.",R,65,house,1870.0,Daniel,ipums,1.0,0.0,M,,1917
24,"RIORDAN, Daniel Joseph",D,65,house,1870.0,Daniel,ipums,1.0,0.0,M,,1917
25,"ANTHONY, Daniel Read, Jr.",R,66,house,1870.0,Daniel,ipums,1.0,0.0,M,,1919
26,"RIORDAN, Daniel Joseph",D,66,house,1870.0,Daniel,ipums,1.0,0.0,M,,1919
27,"ANTHONY, Daniel Read, Jr.",R,67,house,1870.0,Daniel,ipums,1.0,0.0,M,,1921
28,"RIORDAN, Daniel Joseph",D,67,house,1870.0,Daniel,ipums,1.0,0.0,M,,1921
29,"ANTHONY, Daniel Read, Jr.",R,68,house,1870.0,Daniel,ipums,1.0,0.0,M,,1923
30,"RIORDAN, Daniel Joseph",D,68,house,1870.0,Daniel,ipums,1.0,0.0,M,,1923
31,"ANTHONY, Daniel Read, Jr.",R,69,house,1870.0,Daniel,ipums,1.0,0.0,M,,1925
32,"ANTHONY, Daniel Read, Jr.",R,70,house,1870.0,Daniel,ipums,1.0,0.0,M,,1927
