,first_name,last_name,party,gender,chamber,congress_number,DOB,method,proportion_male,proportion_female,predicted_gender,final_gender
0,George,Aiken,R,M,senate,80,1892.0,ipums,,,,M
1,Raymond,Baldwin,R,M,senate,80,1893.0,ipums,,,,M
2,Joseph,Ball,R,M,senate,80,1905.0,ipums,,,,M
4,Theodore,Bilbo,D,M,senate,80,,ipums,,,,M
5,Ralph,Brewster,R,M,senate,80,1888.0,ipums,,,,M
6,John,Bricker,R,M,senate,80,,ipums,,,,M
7,Henry,Bridges,R,M,senate,80,1898.0,ipums,,,,M
8,Charles,Brooks,R,M,senate,80,1897.0,ipums,,,,M
9,Joseph,Broughton,D,M,senate,80,1888.0,ipums,,,,M
11,Vera,Bushfield,R,F,senate,80,1889.0,ipums,,,,F
12,Harlan,Bushfield,R,M,senate,80,1882.0,ipums,,,,M
13,Hugh,Butler,R,M,senate,80,,ipums,,,,M
14,Harry,Byrd,D,M,senate,80,1887.0,ipums,,,,M
15,Harry,Cain,R,M,senate,80,1906.0,ipums,,,,M
16,Homer,Capehart,R,M,senate,80,1897.0,ipums,,,,M
17,Arthur,Capper,R,M,senate,80,1865.0,ipums,,,,M
19,Thomas,Connally,D,M,senate,80,1877.0,ipums,,,,M
20,John,Cooper,R,M,senate,80,1901.0,ipums,,,,M
21,Guy,Cordon,R,M,senate,80,1890.0,ipums,,,,M
24,Henry,Dworshak,R,M,senate,80,1894.0,ipums,,,,M
25,James,Eastland,D,M,senate,80,1904.0,ipums,,,,M
28,William,Feazel,D,M,senate,80,1895.0,ipums,,,,M
29,Homer,Ferguson,R,M,senate,80,1889.0,ipums,,,,M
30,Ralph,Flanders,R,M,senate,80,1880.0,ipums,,,,M
31,James,Fulbright,D,M,senate,80,1905.0,ipums,,,,M
32,Walter,George,D,M,senate,80,1878.0,ipums,,,,M
33,Theodore,Green,D,M,senate,80,1867.0,ipums,,,,M
34,John,Gurney,R,M,senate,80,1896.0,ipums,,,,M
35,Carl,Hatch,D,M,senate,80,1889.0,ipums,,,,M
36,Albert,Hawkes,R,M,senate,80,1878.0,ipums,,,,M
37,Carl,Hayden,D,M,senate,80,1877.0,ipums,,,,M
39,Joseph,Hill,D,M,senate,80,1894.0,ipums,,,,M
43,William,Jenner,R,M,senate,80,1908.0,ipums,,,,M
44,Edwin,Johnson,D,M,senate,80,1884.0,ipums,,,,M
46,James,Kem,R,M,senate,80,1890.0,ipums,,,,M
48,William,Knowland,R,M,senate,80,1908.0,ipums,,,,M
49,William,Langer,R,M,senate,80,1886.0,ipums,,,,M
50,Henry,Lodge,R,M,senate,80,1902.0,ipums,,,,M
52,Scott,Lucas,D,M,senate,80,,ipums,,,,M
53,Warren,Magnuson,D,M,senate,80,1905.0,ipums,,,,M
54,George,Malone,R,M,senate,80,1890.0,ipums,,,,M
55,Edward,Martin,R,M,senate,80,1879.0,ipums,,,,M
57,Patrick,McCarran,D,M,senate,80,1876.0,ipums,,,,M
58,Joseph,McCarthy,R,M,senate,80,1908.0,ipums,,,,M
59,John,McClellan,D,M,senate,80,1896.0,ipums,,,,M
60,Ernest,McFarland,D,M,senate,80,1894.0,ipums,,,,M
61,James,McGrath,D,M,senate,80,1903.0,ipums,,,,M
62,Kenneth,McKellar,D,M,senate,80,1869.0,ipums,,,,M
63,Brien,McMahon,D,M,senate,80,1903.0,ipums,,,,M
64,Eugene,Millikin,R,M,senate,80,1891.0,ipums,,,,M
65,Edward,Moore,R,M,senate,80,1871.0,ipums,,,,M
68,James,Murray,D,M,senate,80,1876.0,ipums,,,,M
70,Herbert,O?Conor,D,M,senate,80,1896.0,ipums,,,,M
71,Wilbert,O?Daniel,D,M,senate,80,1890.0,ipums,,,,M
72,Joseph,O?Mahoney,D,M,senate,80,1884.0,ipums,,,,M
73,John,Overton,D,M,senate,80,1875.0,ipums,,,,M
74,Claude,Pepper,D,M,senate,80,1900.0,ipums,,,,M
76,William,Revercomb,R,M,senate,80,1895.0,ipums,,,,M
77,Absalom,Robertson,D,M,senate,80,1887.0,ipums,,,,M
78,Edward,Robertson,R,M,senate,80,1881.0,ipums,,,,M
79,Richard,Russell,D,M,senate,80,1897.0,ipums,,,,M
80,Leverett,Saltonstall,R,M,senate,80,1892.0,ipums,,,,M
81,Howard,Smith,R,M,senate,80,1880.0,ipums,,,,M
82,John,Sparkman,D,M,senate,80,,ipums,,,,M
83,John,Stennis,D,M,senate,80,1901.0,ipums,,,,M
84,Arthur,Stewart,D,M,senate,80,1892.0,ipums,,,,M
85,Robert,Taft,R,M,senate,80,1889.0,ipums,,,,M
87,Elbert,Thomas,D,M,senate,80,1883.0,ipums,,,,M
88,Elmer,Thomas,D,M,senate,80,,ipums,,,,M
89,Edward,Thye,R,M,senate,80,,ipums,,,,M
90,Charles,Tobey,R,M,senate,80,1880.0,ipums,,,,M
91,Millard,Tydings,D,M,senate,80,1890.0,ipums,,,,M
92,William,Umstead,D,M,senate,80,,ipums,,,,M
93,Arthur,Vandenberg,R,M,senate,80,1884.0,ipums,,,,M
94,Robert,Wagner,D,M,senate,80,1877.0,ipums,,,,M
95,Arthur,Watkins,R,M,senate,80,1886.0,ipums,,,,M
96,Kenneth,Wherry,R,M,senate,80,1892.0,ipums,,,,M
97,Wallace,White,R,M,senate,80,1877.0,ipums,,,,M
98,Alexander,Wiley,R,M,senate,80,1884.0,ipums,,,,M
99,John,Williams,R,M,senate,80,1904.0,ipums,,,,M
100,George,Wilson,R,M,senate,80,,ipums,,,,M
101,Milton,Young,R,M,senate,80,1897.0,ipums,,,,M
102,George,Aiken,R,M,senate,81,1892.0,ipums,,,,M
104,Raymond,Baldwin,R,M,senate,81,1893.0,ipums,,,,M
106,William,Benton,D,M,senate,81,1900.0,ipums,,,,M
107,Ralph,Brewster,R,M,senate,81,1888.0,ipums,,,,M
108,John,Bricker,R,M,senate,81,,ipums,,,,M
109,Henry,Bridges,R,M,senate,81,1898.0,ipums,,,,M
110,Joseph,Broughton,D,M,senate,81,1888.0,ipums,,,,M
111,Hugh,Butler,R,M,senate,81,,ipums,,,,M
112,Harry,Byrd,D,M,senate,81,1887.0,ipums,,,,M
113,Harry,Cain,R,M,senate,81,1906.0,ipums,,,,M
114,Homer,Capehart,R,M,senate,81,1897.0,ipums,,,,M
115,Frank,Carlson,R,M,senate,81,1893.0,ipums,,,,M
119,Thomas,Connally,D,M,senate,81,1877.0,ipums,,,,M
120,Guy,Cordon,R,M,senate,81,1890.0,ipums,,,,M
121,Harry,Darby,R,M,senate,81,1895.0,ipums,,,,M
123,Paul,Douglas,D,M,senate,81,1892.0,ipums,,,,M
125,John,Dulles,R,M,senate,81,1888.0,ipums,,,,M
126,Henry,Dworshak,R,M,senate,81,1894.0,ipums,,,,M
127,James,Eastland,D,M,senate,81,1904.0,ipums,,,,M
130,Homer,Ferguson,R,M,senate,81,1889.0,ipums,,,,M
131,Ralph,Flanders,R,M,senate,81,1880.0,ipums,,,,M
132,Joseph,Frear,D,M,senate,81,1903.0,ipums,,,,M
133,James,Fulbright,D,M,senate,81,1905.0,ipums,,,,M
134,Walter,George,D,M,senate,81,1878.0,ipums,,,,M
135,Guy,Gillette,D,M,senate,81,1879.0,ipums,,,,M
136,Frank,Graham,D,M,senate,81,1886.0,ipums,,,,M
137,Theodore,Green,D,M,senate,81,1867.0,ipums,,,,M
138,John,Gurney,R,M,senate,81,1896.0,ipums,,,,M
139,Carl,Hayden,D,M,senate,81,1877.0,ipums,,,,M
140,Robert,Hendrickson,R,M,senate,81,1898.0,ipums,,,,M
142,Joseph,Hill,D,M,senate,81,1894.0,ipums,,,,M
145,Hubert,Humphrey,I,M,senate,81,1911.0,ipums,,,,M
146,Lester,Hunt,D,M,senate,81,1892.0,ipums,,,,M
148,William,Jenner,R,M,senate,81,1908.0,ipums,,,,M
149,Edwin,Johnson,D,M,senate,81,1884.0,ipums,,,,M
150,Lyndon,Johnson,D,M,senate,81,,ipums,,,,M
152,Carey,Kefauver,D,M,senate,81,1903.0,ipums,,,,M
153,James,Kem,R,M,senate,81,1890.0,ipums,,,,M
154,Robert,Kerr,D,M,senate,81,1896.0,ipums,,,,M
156,William,Knowland,R,M,senate,81,1908.0,ipums,,,,M
157,William,Langer,R,M,senate,81,1886.0,ipums,,,,M
158,Edward,Leahy,D,M,senate,81,1886.0,ipums,,,,M
159,Herbert,Lehman,D,M,senate,81,1878.0,ipums,,,,M
