,full_name,party,number,chamber,DOB,first_name,method,proportion_male,proportion_female,predicted_gender
0,"ADAMSON, William Charles",Democrat,65,house,1854.0,William,ipums,0.9986,0.0014,M
1,"ANDREWS, William Ezekiel",Republican,66,house,1854.0,William,ipums,0.9986,0.0014,M
2,"ANDREWS, William Ezekiel",Republican,67,house,1854.0,William,ipums,0.9986,0.0014,M
3,"ATKESON, William Oscar",Republican,67,house,1854.0,William,ipums,0.9986,0.0014,M
4,"COCKRAN, William Bourke",Democrat,67,house,1854.0,William,ipums,0.9986,0.0014,M
5,"ALEXANDER, Joshua Willis",Democrat,65,house,1852.0,Joshua,ipums,1.0,0.0,M
6,"ALEXANDER, Joshua Willis",Democrat,66,house,1852.0,Joshua,ipums,1.0,0.0,M
7,"ALMON, Edward Berton",Democrat,65,house,1860.0,Edward,ipums,0.9917,0.0083,M
8,"ROBBINS, Edward Everett",Republican,65,house,1860.0,Edward,ipums,0.9917,0.0083,M
9,"SAUNDERS, Edward Watts",Democrat,65,house,1860.0,Edward,ipums,0.9917,0.0083,M
10,"ALMON, Edward Berton",Democrat,66,house,1860.0,Edward,ipums,0.9917,0.0083,M
11,"SAUNDERS, Edward Watts",Democrat,66,house,1860.0,Edward,ipums,0.9917,0.0083,M
12,"ALMON, Edward Berton",Democrat,67,house,1860.0,Edward,ipums,0.9917,0.0083,M
13,"ALMON, Edward Berton",Democrat,68,house,1860.0,Edward,ipums,0.9917,0.0083,M
14,"ALMON, Edward Berton",Democrat,69,house,1860.0,Edward,ipums,0.9917,0.0083,M
15,"ALMON, Edward Berton",Democrat,70,house,1860.0,Edward,ipums,0.9917,0.0083,M
16,"ALMON, Edward Berton",Democrat,71,house,1860.0,Edward,ipums,0.9917,0.0083,M
17,"ALMON, Edward Berton",Democrat,72,house,1860.0,Edward,ipums,0.9917,0.0083,M
18,"ALMON, Edward Berton",Democrat,73,house,1860.0,Edward,ipums,0.9917,0.0083,M
19,"ANDERSON, Sydney",Republican,65,house,1881.0,Sydney,ipums,0.3247,0.6753,M
20,"ANDERSON, Sydney",Republican,66,house,1881.0,Sydney,ipums,0.3247,0.6753,M
21,"ANDERSON, Sydney",Republican,67,house,1881.0,Sydney,ipums,0.3247,0.6753,M
22,"ANDERSON, Sydney",Republican,68,house,1881.0,Sydney,ipums,0.3247,0.6753,M
23,"ANTHONY, Daniel Read, Jr.",Republican,65,house,1870.0,Daniel,ipums,1.0,0.0,M
24,"RIORDAN, Daniel Joseph",Democrat,65,house,1870.0,Daniel,ipums,1.0,0.0,M
25,"ANTHONY, Daniel Read, Jr.",Republican,66,house,1870.0,Daniel,ipums,1.0,0.0,M
26,"RIORDAN, Daniel Joseph",Democrat,66,house,1870.0,Daniel,ipums,1.0,0.0,M
27,"ANTHONY, Daniel Read, Jr.",Republican,67,house,1870.0,Daniel,ipums,1.0,0.0,M
28,"RIORDAN, Daniel Joseph",Democrat,67,house,1870.0,Daniel,ipums,1.0,0.0,M
29,"ANTHONY, Daniel Read, Jr.",Republican,68,house,1870.0,Daniel,ipums,1.0,0.0,M
30,"RIORDAN, Daniel Joseph",Democrat,68,house,1870.0,Daniel,ipums,1.0,0.0,M
31,"ANTHONY, Daniel Read, Jr.",Republican,69,house,1870.0,Daniel,ipums,1.0,0.0,M
32,"ANTHONY, Daniel Read, Jr.",Republican,70,house,1870.0,Daniel,ipums,1.0,0.0,M
33,"ASHBROOK, William Albert",Democrat,65,house,1867.0,William,ipums,0.9981,0.0019,M
34,"AYRES, William Augustus",Democrat,65,house,1867.0,William,ipums,0.9981,0.0019,M
35,"BORLAND, William Patterson",Democrat,65,house,1867.0,William,ipums,0.9981,0.0019,M
36,"OLIVER, William Bacon",Democrat,65,house,1867.0,William,ipums,0.9981,0.0019,M
37,"VARE, William Scott",Republican,65,house,1867.0,William,ipums,0.9981,0.0019,M
38,"KIRBY, William Fosgate",Democrat,65,senate,1867.0,William,ipums,0.9981,0.0019,M
39,"ASHBROOK, William Albert",Democrat,66,house,1867.0,William,ipums,0.9981,0.0019,M
40,"AYRES, William Augustus",Democrat,66,house,1867.0,William,ipums,0.9981,0.0019,M
41,"OLIVER, William Bacon",Democrat,66,house,1867.0,William,ipums,0.9981,0.0019,M
42,"VARE, William Scott",Republican,66,house,1867.0,William,ipums,0.9981,0.0019,M
43,"KIRBY, William Fosgate",Democrat,66,senate,1867.0,William,ipums,0.9981,0.0019,M
44,"OLIVER, William Bacon",Democrat,67,house,1867.0,William,ipums,0.9981,0.0019,M
45,"VARE, William Scott",Republican,67,house,1867.0,William,ipums,0.9981,0.0019,M
46,"AYRES, William Augustus",Democrat,68,house,1867.0,William,ipums,0.9981,0.0019,M
47,"OLIVER, William Bacon",Democrat,68,house,1867.0,William,ipums,0.9981,0.0019,M
48,"SPROUL, William Henry",Republican,68,house,1867.0,William,ipums,0.9981,0.0019,M
49,"VARE, William Scott",Republican,68,house,1867.0,William,ipums,0.9981,0.0019,M
50,"AYRES, William Augustus",Democrat,69,house,1867.0,William,ipums,0.9981,0.0019,M
51,"OLIVER, William Bacon",Democrat,69,house,1867.0,William,ipums,0.9981,0.0019,M
52,"SPROUL, William Henry",Republican,69,house,1867.0,William,ipums,0.9981,0.0019,M
